,NAME,RATINGS,YEAR
0,Ahsoka,8.0,(2023– )
1,One Piece,8.4,(2023– )
2,A Haunting in Venice,6.8,(2023)
3,Barbie,7.1,(I) (2023)
4,Elemental,7.0,(2023)
5,Talk to Me,7.2,(I) (2022)
6,Expend4bles,5.2,(2023)
7,Wilderness,6.3,(2023)
8,The Continental: From the World of John Wick,7.5,(2023)
9,Love at First Sight,6.9,(I) (2023)
10,Jawan,7.6,(2023)
11,Oppenheimer,8.6,(2023)
12,Blue Beetle,6.3,(2023)
13,Liebes Kind,7.4,(2023)
14,A Million Miles Away,7.4,(2023)
15,The Little Mermaid,7.2,(I) (2023)
16,The Nun II,5.9,(2023)
17,The Bear,8.6,(2022– )
18,Killers of the Flower Moon,Null,(2023)
19,No One Will Save You,6.4,(2023)
20,The Walking Dead: Daryl Dixon,8.1,(2023– )
21,The Hunger Games: The Ballad of Songbirds and Snakes,Null,(2023)
22,Special Ops: Lioness,7.7,(2023– )
23,Retribution,5.3,(I) (2023)
24,The Equalizer 3,7.1,(2023)
25,The Creator,7.9,(2023)
26,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.3,(2023)
27,Aquaman and the Lost Kingdom,Null,(2023)
28,Winning Time: The Rise of the Lakers Dynasty,8.3,(2022–2023)
29,Dream Scenario,7.8,(2023)
30,Theater Camp,7.1,(2023)
31,Harlan Coben's Shelter,6.6,(2023– )
32,Who Is Erin Carter?,6.5,(2023)
33,No Hard Feelings,6.4,(2023)
34,Dumb Money,7.1,(2023)
35,You Are So Not Invited to My Bat Mitzvah,6.0,(2023)
36,Bottoms,7.2,(2023)
37,Saw X,9.0,(2023)
38,Poor Things,8.1,(2023)
39,X,6.6,(II) (2022)
40,John Wick: Chapter 4,7.8,(2023)
41,Spider-Man: Across the Spider-Verse,8.7,(2023)
42,Indiana Jones and the Dial of Destiny,6.7,(2023)
43,El Conde,6.5,(2023)
44,Five Nights at Freddy's,Null,(2023)
45,Jaane Jaan,7.1,(2023)
46,Sound of Freedom,7.8,(2023)
47,All of Us Strangers,5.9,(2023)
48,The Fall of the House of Usher,Null,(2023– )
49,Fast X,5.8,(2023)
