TITLE,DIRECTED BY,RELEASE DATE
Wings,['William A. Wellman'],"['\xa0(1927-08-12)', '1927-08-12', '\xa0(1928-01-15)', '1928-01-15', '\xa0(1929-01-05)', '1929-01-05']"
All Quiet on the Western Front,['Lewis Milestone'],[]
Cimarron,['Wesley Ruggles'],"['\xa0(1931-01-26)', '1931-01-26', '\xa0(1931-02-09)', '1931-02-09']"
Grand Hotel,['Edmund Goulding'],"['\xa0(1932-04-12)', '1932-04-12', '\xa0(1932-04-29)', '1932-04-29', '\xa0(1932-09-11)', '1932-09-11']"
Cavalcade,['Frank Lloyd'],[]
Mutiny on the Bounty,['Frank Lloyd'],[]
You Can't Take It with You,['Frank Capra'],"['\xa0(1938-08-23)', '1938-08-23', '\xa0(1938-09-01)', '1938-09-01', '\xa0(1938-09-29)', '1938-09-29']"
Gone with the Wind,['Victor Fleming'],[]
Rebecca,['Alfred Hitchcock'],"['\xa0(1940-03-21)', '1940-03-21', '\xa0(1940-04-12)', '1940-04-12']"
How Green Was My Valley,"['John Ford', 'Directed by John Ford (1971 documentary)', 'Five Came Back (2017 documentary)']",[]
Casablanca,['Michael Curtiz'],"['\xa0(1942-11-26)', '1942-11-26', '\xa0(1943-01-23)', '1943-01-23']"
The Lost Weekend,['Billy Wilder'],[]
Hamlet,['Laurence Olivier'],[]
All the King's Men,['Robert Rossen'],"['\xa0(1949-11-08)', '1949-11-08', '\xa0(1950-01)', '1950-01']"
An American in Paris,['Vincente Minnelli'],"['\xa0(1951-10-04)', '1951-10-04', '\xa0(1952-01-11)', '1952-01-11']"
The Greatest Show on Earth,['Cecil B. DeMille'],"['\xa0(1952-01-10)', '1952-01-10']"
Marty,['Delbert Mann'],[]
Around the World in 80 Days,['Michael Anderson'],"['\xa0(1956-10-17)', '1956-10-17', '\xa0(1956-12-22)', '1956-12-22']"
Gigi,['Vincente Minnelli'],[]
Ben-Hur,['William Wyler'],[]
West Side Story,"['Robert Wise', 'Jerome Robbins']",[]
Lawrence of Arabia,['David Lean'],[]
Tom Jones,['Tony Richardson'],[]
My Fair Lady,['George Cukor'],[]
The Sound of Music,['Robert Wise'],[]
A Man for All Seasons,['Fred Zinnemann'],[]
In the Heat of the Night,['Norman Jewison'],[]
Oliver!,['Carol Reed'],[]
Patton,['Franklin J. Schaffner'],"['\xa0(1970-02-05)', '1970-02-05', '\xa0(1970-04-02)', '1970-04-02']"
The French Connection,['William Friedkin'],[]
One Flew Over the Cuckoo's Nest,['Miloš Forman'],[]
Gandhi,['Richard Attenborough'],"['\xa0(1982-11-30)', '1982-11-30', '\xa0(1982-12-03)', '1982-12-03']"
Amadeus,['Miloš Forman'],"['\xa0(1984-09-06)', '1984-09-06', '\xa0(1984-09-19)', '1984-09-19']"
Out of Africa,['Sydney Pollack'],[]
Platoon,['Oliver Stone'],[]
The Silence of the Lambs,['Jonathan Demme'],"['\xa0(1991-01-30)', '1991-01-30', '\xa0(1991-02-14)', '1991-02-14']"
The English Patient,['Anthony Minghella'],[]
Titanic,['James Cameron'],"['\xa0(1997-11-01)', '1997-11-01', '\xa0(1997-12-19)', '1997-12-19']"
American Beauty,['Sam Mendes'],"['\xa0(1999-09-08)', '1999-09-08', '\xa0(1999-09-15)', '1999-09-15']"
Gladiator,['Ridley Scott'],"['\xa0(2000-05-01)', '2000-05-01', '\xa0(2000-05-05)', '2000-05-05', '\xa0(2000-05-12)', '2000-05-12']"
A Beautiful Mind,['Ron Howard'],"['\xa0(2001-12-13)', '2001-12-13', '\xa0(2001-12-21)', '2001-12-21']"
Chicago,['Rob Marshall'],[]
Crash,['Paul Haggis'],"['\xa0(2004-09-10)', '2004-09-10', '\xa0(2005-05-06)', '2005-05-06']"
The Artist,['Michel Hazanavicius'],"['\xa0(2011-05-15)', '2011-05-15', '\xa0(2011-10-12)', '2011-10-12']"
Argo,['Ben Affleck'],"['\xa0(2012-08-31)', '2012-08-31', '\xa0(2012-10-12)', '2012-10-12']"
12 Years a Slave,['Steve McQueen'],"['\xa0(2013-08-30)', '2013-08-30', '\xa0(2013-11-08)', '2013-11-08', '\xa0(2014-01-10)', '2014-01-10']"
Birdman,['Alejandro González Iñárritu'],"['\xa0(2014-08-27)', '2014-08-27', '\xa0(2014-10-17)', '2014-10-17']"
Spotlight,['Tom McCarthy'],"['\xa0(2015-09-03)', '2015-09-03', '\xa0(2015-11-06)', '2015-11-06']"
Moonlight,['Barry Jenkins'],"['\xa0(2016-09-02)', '2016-09-02', '\xa0(2016-10-21)', '2016-10-21']"
Green Book,['Peter Farrelly'],"['\xa0(2018-09-11)', '2018-09-11', '\xa0(2018-11-16)', '2018-11-16']"
Parasite,['Bong Joon-ho'],"['\n21\xa0May\xa02019\xa0(2019-05-21) (Cannes)\n30\xa0May\xa02019\xa0(2019-05-30) (South Korea)\n', '\xa0(2019-05-21)', '2019-05-21', '\xa0(2019-05-30)', '2019-05-30']"
CODA,['Sian Heder'],"['\xa0(2021-01-28)', '2021-01-28', '\xa0(2021-08-13)', '2021-08-13']"
