NAME,RATINGS,YEAR
Ahsoka,8.0,(2023– )
One Piece,8.4,(2023– )
A Haunting in Venice,6.8,(2023)
Barbie,7.1,(I) (2023)
Elemental,7.0,(2023)
Talk to Me,7.2,(I) (2022)
Expend4bles,5.2,(2023)
Wilderness,6.3,(2023)
The Continental: From the World of John Wick,7.5,(2023)
Love at First Sight,6.9,(I) (2023)
Jawan,7.6,(2023)
Oppenheimer,8.6,(2023)
Blue Beetle,6.3,(2023)
Dear Child,7.4,(2023)
A Million Miles Away,7.4,(2023)
The Little Mermaid,7.2,(I) (2023)
The Nun II,5.9,(2023)
The Bear,8.6,(2022– )
Killers of the Flower Moon,Null,(2023)
No One Will Save You,6.4,(2023)
The Walking Dead: Daryl Dixon,8.1,(2023– )
The Hunger Games: The Ballad of Songbirds and Snakes,Null,(2023)
Special Ops: Lioness,7.7,(2023– )
Retribution,5.3,(I) (2023)
The Equalizer 3,7.1,(2023)
The Creator,7.9,(2023)
Teenage Mutant Ninja Turtles: Mutant Mayhem,7.3,(2023)
Aquaman and The Lost Kingdom,Null,(2023)
Winning Time: The Rise of the Lakers Dynasty,8.3,(2022–2023)
Dream Scenario,7.8,(2023)
Theater Camp,7.1,(2023)
Harlan Coben's Shelter,6.6,(2023– )
Who Is Erin Carter?,6.5,(2023)
No Hard Feelings,6.4,(2023)
Dumb Money,7.1,(2023)
You Are So Not Invited to My Bat Mitzvah,6.0,(2023)
Bottoms,7.2,(2023)
Saw X,9.0,(2023)
Poor Things,8.1,(2023)
X,6.6,(II) (2022)
John Wick: Chapter 4,7.8,(2023)
Spider-Man: Across the Spider-Verse,8.7,(2023)
Indiana Jones and the Dial of Destiny,6.7,(2023)
El Conde,6.5,(2023)
Five Nights at Freddy's,Null,(2023)
Jaane Jaan,7.1,(2023)
Sound of Freedom,7.8,(2023)
All of Us Strangers,5.9,(2023)
The Fall of the House of Usher,Null,(2023– )
Fast X,5.8,(2023)
